업체명	x인자	통화	NO	분기	 Data 
YOKOGAWA ELECTRIC	X245_1	JPY	1	2015 Q3	6,234,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2015 Q4	13,298,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2016 Q1	6,640,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2016 Q2	13,822,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2016 Q3	9,995,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2016 Q4	9,185,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2017 Q1	5,087,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2017 Q2	9,420,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2017 Q3	5,481,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2017 Q4	11,600,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2018 Q1	2,540,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2018 Q2	9,907,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2018 Q3	8,097,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2018 Q4	12,152,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2019 Q1	4,780,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2019 Q2	9,973,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2019 Q3	10,347,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2019 Q4	9,477,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2020 Q1	6,570,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2020 Q2	10,291,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2020 Q3	11,288,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2020 Q4	7,439,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2021 Q1	6,425,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2021 Q2	8,921,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2021 Q3	8,487,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2021 Q4	7,766,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2022 Q1	4,800,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2022 Q2	9,367,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2022 Q3	7,933,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2022 Q4	8,500,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2023 Q1	1,400,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2023 Q2	12,200,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2023 Q3	11,169,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2023 Q4	19,640,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2024 Q1	13,100,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2024 Q2	20,600,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2024 Q3	24,673,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2024 Q4	20,420,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2025 Q1	14,800,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2025 Q2	21,500,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2025 Q3	22,102,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2025 Q4	21,112,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2026 Q1	16,000,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2026 Q2	22,500,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2026 Q3	23,500,000,000
YOKOGAWA ELECTRIC	X245_1	JPY	1	2026 Q4	24,000,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2015 Q3	96,856,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2015 Q4	124,555,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2016 Q1	92,690,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2016 Q2	109,484,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2016 Q3	99,171,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2016 Q4	112,387,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2017 Q1	89,939,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2017 Q2	94,673,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2017 Q3	92,489,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2017 Q4	114,300,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2018 Q1	86,125,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2018 Q2	101,857,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2018 Q3	106,038,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2018 Q4	112,570,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2019 Q1	88,945,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2019 Q2	101,502,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2019 Q3	104,853,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2019 Q4	108,431,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2020 Q1	90,271,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2020 Q2	101,122,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2020 Q3	105,952,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2020 Q4	107,087,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2021 Q1	81,961,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2021 Q2	92,415,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2021 Q3	95,301,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2021 Q4	104,529,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2022 Q1	86,300,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2022 Q2	98,119,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2022 Q3	96,381,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2022 Q4	109,100,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2023 Q1	94,000,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2023 Q2	111,900,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2023 Q3	111,565,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2023 Q4	138,996,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2024 Q1	118,600,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2024 Q2	135,900,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2024 Q3	138,591,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2024 Q4	147,063,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2025 Q1	128,900,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2025 Q2	137,700,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2025 Q3	142,307,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2025 Q4	157,772,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2026 Q1	138,000,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2026 Q2	
YOKOGAWA ELECTRIC	X245_3	JPY	3	2026 Q3	151,500,000,000
YOKOGAWA ELECTRIC	X245_3	JPY	3	2026 Q4	166,500,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2015 Q3	7,134,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2015 Q4	9,478,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2016 Q1	9,145,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2016 Q2	9,834,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2016 Q3	8,211,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2016 Q4	9,540,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2017 Q1	5,465,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2017 Q2	8,353,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2017 Q3	7,800,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2017 Q4	8,782,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2018 Q1	13,218,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2018 Q2	14,582,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2018 Q3	13,777,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2018 Q4	12,549,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2019 Q1	17,190,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2019 Q2	13,320,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2019 Q3	11,128,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2019 Q4	8,128,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2020 Q1	7,186,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2020 Q2	5,271,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2020 Q3	4,335,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2020 Q4	5,547,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2021 Q1	6,227,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2021 Q2	7,067,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2021 Q3	6,747,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2021 Q4	7,139,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2022 Q1	12,944,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2022 Q2	13,923,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2022 Q3	13,065,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2022 Q4	12,928,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2023 Q1	13,953,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2023 Q2	17,307,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2023 Q3	16,872,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2023 Q4	20,169,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2024 Q1	16,449,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2024 Q2	16,613,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2024 Q3	13,485,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2024 Q4	19,678,000,000
YASKAWA ELECTRIC	X244_1	JPY	1	2025 Q1	11,118,000,000
