업체명	x인자 No.	통화	No	2015 Q1	2015 Q2	2015 Q3	2015 Q4	2016 Q1	2016 Q2	2016 Q3	2016 Q4	2017 Q1	2017 Q2	2017 Q3	2017 Q4	2018 Q1	2018 Q2	2018 Q3	2018 Q4	2019 Q1	2019 Q2	2019 Q3	2019 Q4	2020 Q1	2020 Q2	2020 Q3	2020 Q4	2021 Q1	2021 Q2	2021 Q3	2021 Q4	2022 Q1	2022 Q2	2022 Q3	2022 Q4	2023 Q1	2023 Q2	2023 Q3	2023 Q4	2024 Q1	2024 Q2	2024 Q3	2024 Q4	2025 Q1	2025 Q2	2025 Q3	2025 Q4
YOKOGAWA ELECTRIC		JPY	4	-8,090,000,000	-8,090,000,000	-8,090,000,000	-8,090,000,000	-7,160,000,000	-7,160,000,000	-7,160,000,000	-7,160,000,000	-6,480,000,000	-6,480,000,000	-6,480,000,000	-6,480,000,000	-6,560,000,000	-6,560,000,000	-6,560,000,000	-6,560,000,000	-7,890,000,000	-7,890,000,000	-7,890,000,000	-7,890,000,000	-9,920,000,000	-9,920,000,000	-9,920,000,000	-9,920,000,000	-8,690,000,000	-8,690,000,000	-8,690,000,000	-8,690,000,000	-8,280,000,000	-8,280,000,000	-8,280,000,000	-8,280,000,000	-8,640,000,000	-8,640,000,000	-8,640,000,000	-8,640,000,000	-8,720,000,000	-8,720,000,000	-8,720,000,000	-8,720,000,000		 - 	 - 	 - 
YOKOGAWA ELECTRIC		JPY	5	333,510,000,000	333,510,000,000	333,510,000,000	333,510,000,000	310,453,000,000	310,453,000,000	310,453,000,000	310,453,000,000	468,150,000,000	468,150,000,000	468,150,000,000	468,150,000,000	587,367,000,000	587,367,000,000	587,367,000,000	587,367,000,000	611,550,000,000	611,550,000,000	611,550,000,000	611,550,000,000	347,815,000,000	347,815,000,000	347,815,000,000	347,815,000,000	544,008,000,000	544,008,000,000	544,008,000,000	544,008,000,000	560,288,000,000	560,288,000,000	560,288,000,000	560,288,000,000	573,899,000,000	573,899,000,000	573,899,000,000	573,899,000,000	908,969,000,000	908,969,000,000	908,969,000,000	908,969,000,000	752,805,000,000	752,805,000,000	752,805,000,000	752,805,000,000
YASKAWA ELECTRIC		JPY	4	-18,500,000,000	-18,500,000,000	-18,500,000,000	-18,500,000,000	-20,600,000,000	-20,600,000,000	-20,600,000,000	-20,600,000,000	-15,100,000,000	-15,100,000,000	-15,100,000,000	-15,100,000,000	-17,700,000,000	-17,700,000,000	-17,700,000,000	-17,700,000,000	-23,000,000,000	-23,000,000,000	-23,000,000,000	-23,000,000,000	-22,300,000,000	-22,300,000,000	-22,300,000,000	-22,300,000,000	-8,610,000,000	-8,610,000,000	-8,610,000,000	-8,610,000,000	-24,200,000,000	-24,200,000,000	-24,200,000,000	-24,200,000,000	-21,900,000,000	-21,900,000,000	-21,900,000,000	-21,900,000,000	-31,000,000,000	-31,000,000,000	-31,000,000,000	-31,000,000,000		 - 	 - 	 - 
YASKAWA ELECTRIC		JPY	5	420,638,000,000	420,638,000,000	420,638,000,000	420,638,000,000	360,821,000,000	360,821,000,000	360,821,000,000	360,821,000,000	560,836,000,000	560,836,000,000	560,836,000,000	560,836,000,000	1,332,747,000,000	1,332,747,000,000	1,332,747,000,000	1,332,747,000,000	834,972,000,000	834,972,000,000	834,972,000,000	834,972,000,000	884,675,000,000	884,675,000,000	884,675,000,000	884,675,000,000	1,390,642,000,000	1,390,642,000,000	1,390,642,000,000	1,390,642,000,000	1,194,660,000,000	1,194,660,000,000	1,194,660,000,000	1,194,660,000,000	1,401,348,000,000	1,401,348,000,000	1,401,348,000,000	1,401,348,000,000	1,599,409,000,000	1,599,409,000,000	1,599,409,000,000	1,599,409,000,000	967,351,000,000	967,351,000,000	967,351,000,000	967,351,000,000
XIAOMI		CNY	4	-2,520,000,000	-2,520,000,000	-2,520,000,000	-2,520,000,000	-1,830,000,000	-1,830,000,000	-1,830,000,000	-1,830,000,000	-1,220,000,000	-1,220,000,000	-1,220,000,000	-1,220,000,000	-3,790,000,000	-3,790,000,000	-3,790,000,000	-3,790,000,000	-3,410,000,000	-3,410,000,000	-3,410,000,000	-3,410,000,000	-3,030,000,000	-3,030,000,000	-3,030,000,000	-3,030,000,000	-7,170,000,000	-7,170,000,000	-7,170,000,000	-7,170,000,000	-5,800,000,000	-5,800,000,000	-5,800,000,000	-5,800,000,000	-6,270,000,000	-6,270,000,000	-6,270,000,000	-6,270,000,000		 - 	 - 	 - 		 - 	 - 	 - 
XIAOMI		CNY	5		 - 	 - 	 - 		 - 	 - 	 - 		 - 	 - 	 - 	256,182,000,000	256,182,000,000	256,182,000,000	256,182,000,000	231,057,000,000	231,057,000,000	231,057,000,000	231,057,000,000	703,572,000,000	703,572,000,000	703,572,000,000	703,572,000,000	384,440,000,000	384,440,000,000	384,440,000,000	384,440,000,000	241,347,000,000	241,347,000,000	241,347,000,000	241,347,000,000	354,655,000,000	354,655,000,000	354,655,000,000	354,655,000,000	1,151,900,000,000	1,151,900,000,000	1,151,900,000,000	1,151,900,000,000	1,151,900,000,000	1,151,900,000,000	1,151,900,000,000	1,151,900,000,000
폭스바겐		EUR	4	-13,210,000,000	-13,210,000,000	-13,210,000,000	-13,210,000,000	-13,150,000,000	-13,150,000,000	-13,150,000,000	-13,150,000,000	-13,050,000,000	-13,050,000,000	-13,050,000,000	-13,050,000,000	-13,730,000,000	-13,730,000,000	-13,730,000,000	-13,730,000,000	-14,230,000,000	-14,230,000,000	-14,230,000,000	-14,230,000,000	-11,270,000,000	-11,270,000,000	-11,270,000,000	-11,270,000,000	-10,660,000,000	-10,660,000,000	-10,660,000,000	-10,660,000,000	-12,950,000,000	-12,950,000,000	-12,950,000,000	-12,950,000,000	-14,650,000,000	-14,650,000,000	-14,650,000,000	-14,650,000,000	-17,200,000,000	-17,200,000,000	-17,200,000,000	-17,200,000,000		 - 	 - 	 - 
폭스바겐		EUR	5	69,571,000,000	69,571,000,000	69,571,000,000	69,571,000,000	67,851,000,000	67,851,000,000	67,851,000,000	67,851,000,000	84,105,000,000	84,105,000,000	84,105,000,000	84,105,000,000	69,693,000,000	69,693,000,000	69,693,000,000	69,693,000,000	87,466,000,000	87,466,000,000	87,466,000,000	87,466,000,000	81,625,000,000	81,625,000,000	81,625,000,000	81,625,000,000	112,849,000,000	112,849,000,000	112,849,000,000	112,849,000,000	67,576,000,000	67,576,000,000	67,576,000,000	67,576,000,000	58,007,000,000	58,007,000,000	58,007,000,000	58,007,000,000	45,553,000,000	45,553,000,000	45,553,000,000	45,553,000,000	47,562,000,000	47,562,000,000	47,562,000,000	47,562,000,000
UMC		TWD	4	-60,500,000,000	-60,500,000,000	-60,500,000,000	-60,500,000,000	-91,560,000,000	-91,560,000,000	-91,560,000,000	-91,560,000,000	-44,240,000,000	-44,240,000,000	-44,240,000,000	-44,240,000,000	-19,590,000,000	-19,590,000,000	-19,590,000,000	-19,590,000,000	-16,520,000,000	-16,520,000,000	-16,520,000,000	-16,520,000,000	-26,350,000,000	-26,350,000,000	-26,350,000,000	-26,350,000,000	-48,030,000,000	-48,030,000,000	-48,030,000,000	-48,030,000,000	-80,130,000,000	-80,130,000,000	-80,130,000,000	-80,130,000,000	-91,470,000,000	-91,470,000,000	-91,470,000,000	-91,470,000,000	-88,540,000,000	-88,540,000,000	-88,540,000,000	-88,540,000,000		 - 	 - 	 - 
UMC		TWD	5	150,134,000,000	150,134,000,000	150,134,000,000	150,134,000,000	139,171,000,000	139,171,000,000	139,171,000,000	139,171,000,000	173,354,000,000	173,354,000,000	173,354,000,000	173,354,000,000	134,305,000,000	134,305,000,000	134,305,000,000	134,305,000,000	192,601,000,000	192,601,000,000	192,601,000,000	192,601,000,000	580,007,000,000	580,007,000,000	580,007,000,000	580,007,000,000	810,366,000,000	810,366,000,000	810,366,000,000	810,366,000,000	508,943,000,000	508,943,000,000	508,943,000,000	508,943,000,000	659,069,000,000	659,069,000,000	659,069,000,000	659,069,000,000	540,739,000,000	540,739,000,000	540,739,000,000	540,739,000,000	560,836,000,000	560,836,000,000	560,836,000,000	560,836,000,000
